KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
582.01,5.9450441,582.03,9.93957896,1.6719100468909895,5:3,0.0031460281345936,631.8811234206503
250.01,12.28301501,250.02,17.25119579,1.4044756744134272,7:5,0.0031969102953051,770.8869858024482
2414.01,22.59681542,2414.02,45.34836333,2.0068475352444155,2:1,0.0034237676222077,6622.581952679073
1151.01,10.43545334,1151.04,17.45319318,1.6724901747296776,5:3,0.0034941048378065,999.0079857452932
993.02,13.0607061,993.01,21.85372099,1.673241922961577,5:3,0.0039451537769461,1107.8767635220763
2704.01,4.87122503,2704.03,8.15275543,1.6736560885178404,5:3,0.0041936531107042,388.8140108293694
2038.01,8.30542284,2038.02,12.51345816,1.5066611780117387,3:2,0.0044407853411589,939.2826717698042
886.01,8.01084154,886.02,12.07138695,1.5068812545754091,3:2,0.0045875030502726,877.121084368726
2693.01,4.08141546,2693.03,6.83440524,1.6745183887748591,5:3,0.0047110332649153,290.1446394317801
1576.01,10.41573181,1576.02,13.08424809,1.2562005559165794,5:4,0.0049604447332636,527.5433471624018
904.02,27.95473903,904.03,42.14014148,1.5074417770374011,3:2,0.0049611846916006,2831.322496509325
314.01,13.78108283,314.02,23.08898942,1.675411845703274,5:3,0.0052471074219644,880.0654365622207
4246.03,5.558328,4246.01,6.98474826,1.2566275793727897,5:4,0.0053020634982317,263.472825715101
2038.03,17.91327996,2038.04,25.21486084,1.4076071437673214,7:5,0.0054336741195153,662.9258394804416
523.02,36.85699247,523.01,49.41119585,1.3406193109819955,4:3,0.0054644832364965,2260.5612329446644
1475.03,4.72943361,1475.02,9.51219279,2.0112752550088127,2:1,0.0056376275044063,843.6343818889542
1151.02,7.41088006,1151.01,10.43545334,1.4081260599972525,7:5,0.005804328569466,256.83919005098306
2926.04,37.63354937,2926.05,75.73163337,2.012343630557747,2:1,0.0061718152788734,6135.280298264484
972.02,7.82192885,972.01,13.11895869,1.6772025086881224,5:3,0.0063215052128733,415.05806760339584
3158.04,7.74345208,3158.05,9.74051754,1.2579037668687945,5:4,0.0063230134950356,308.097319344568
332.01,5.45849297,332.02,6.8667407,1.2579920387806234,5:4,0.0063936310244987,214.79940502316816
2433.02,10.04380879,2433.01,15.16213142,1.509599768077624,3:2,0.0063998453850826,789.7134231472373
934.02,12.41211141,934.03,18.74643825,1.5103343525338209,3:2,0.0068895683558805,906.99626264197
2218.01,5.53535102,2218.02,16.72627945,3.021719740909945,3:1,0.0072399136366483,770.0957170415141
1931.03,6.98795025,1931.02,10.55837881,1.5109407526191247,3:2,0.0072938350794165,482.525251121374
1563.01,5.48712478,1563.02,8.29085153,1.510964642214679,3:2,0.0073097614764525,378.0721416928984
157.02,22.68714058,157.03,31.99551734,1.410293078899765,7:5,0.0073521992141178,621.6899268251082
274.01,15.08970552,274.02,22.80304201,1.511165475017169,3:2,0.0074436500114458,1021.1407026990108
4773.01,8.84935359,4773.02,11.14432601,1.2593378597272211,5:4,0.0074702877817769,298.36403457402344
1590.02,2.35575084,1590.03,4.74670612,2.0149440422145832,2:1,0.0074720211072916,317.6320069122864
571.02,13.34299753,571.04,22.40768305,1.67935900457294,5:3,0.007615402743764,588.4832044726401
168.03,7.10694344,168.01,10.74246051,1.5115443932673256,3:2,0.007696262178217,465.2674359424621
500.03,3.07215234,500.04,4.64539336,1.512097333037853,3:2,0.0080648886919019,192.0007222031683
2722.04,8.92112441,2722.02,11.2427106,1.2602347062212982,5:4,0.0081877649770385,274.62221086043934
4383.02,2.58396862,4383.01,4.34191602,1.680328463121971,5:3,0.0081970778731825,105.93814252283585
1151.03,5.24969846,1151.02,7.41088006,1.4116772832700948,7:5,0.0083409166214962,126.92815423907837
520.01,12.75933213,520.03,25.75279012,2.018349382053432,2:1,0.009174691026716,1403.4690675146226
1833.03,5.70939527,1833.02,7.68434094,1.3459115329389342,4:3,0.0094336497042006,203.64178183811137
1563.02,8.29085153,1563.04,16.73878229,2.01894609129492,2:1,0.0094730456474598,883.4952829815812
1102.02,8.14510034,1102.01,12.33348408,1.514221257586128,3:2,0.0094808383907518,433.62846096082114
1529.02,11.86959954,1529.01,17.97740337,1.514575391479467,3:2,0.009716927652978,616.7039628172416
1831.03,34.20593543,1831.01,51.80987798,1.5146458451933065,3:2,0.0097638967955375,1768.756848654895
623.01,10.34974362,623.02,15.67754049,1.5147757341258663,3:2,0.0098504894172442,530.5164655932392
248.csv.01,7.20386128,248.csv.02,10.91276664,1.5148496363050454,3:2,0.0098997575366968,367.4422193186089
