KOI_inner,Period_inner,KOI_middle,Period_middle,KOI_outer,Period_outer,Nearest Period Ratio_inner,Nearest Period Ratio_outer,Period Ratios_inner,Period Ratios_outer,delta_inner,delta_outer,Period_ttv_inner,Period_ttv_outer,n1,n2,n3,p,q,3 Body Equation
1151.02,7.41088006,1151.01,10.43545334,1151.04,17.45319318,5:7,3:5,1.4081260599972525,1.6724901747296776,0.005804328569466,0.0034941048378065,256.83919005098306,999.0079857452932,0.8478325457043743,0.602099889910445,0.3600020490450783,5,5,0.018174074642813176
1151.03,5.24969846,1151.02,7.41088006,1151.01,10.43545334,5:7,5:7,1.4116772832700948,1.4081260599972525,0.0083409166214962,0.005804328569466,126.92815423907837,256.83919005098306,1.1968659447879195,0.8478325457043743,0.602099889910445,5,7,0.025038404860223018
1151.01,10.43545334,1151.04,17.45319318,1151.05,21.72027051,3:5,4:5,1.6724901747296776,1.244486913425661,0.0034941048378065,-0.004410469259471,999.0079857452932,-984.9414759374044,0.602099889910445,0.3600020490450783,0.2892774887074639,3,10,0.019047919219955745
1194.03,4.17629424,1194.01,8.70793158,1194.02,14.86216896,1:2,3:5,2.085085743383829,1.706739289745315,0.0425428716919145,0.0240435738471889,102.34301580604146,123.62695375036876,1.50448817686265,0.7215473903826408,0.4227636843646532,2,5,0.0719630428700806
1236.02,12.30971149,1236.01,35.73391416,1236.03,54.4114068,1:3,2:3,2.90290427919688,1.5226825294416615,-0.0323652402677065,0.0151216862944409,-368.02769333632494,1199.412237950442,0.5104250666056501,0.1758325516495724,0.11547551656355237,1,6,-0.027549695560042387
1276.03,7.70974541,1276.02,13.26071518,1276.01,22.7902174,3:5,3:5,1.7199939135214584,1.7186265665650169,0.0319963481128748,0.0311759399390101,82.88892928167682,146.2038831521024,0.8149666393691704,0.4738194902682154,0.2756965937139146,3,5,0.032826964531361025
1306.01,1.79631631,1306.02,3.46807214,1306.03,5.91427708,1:2,3:5,1.930657824957343,1.7053500738309324,-0.0346710875213285,0.0232100442985594,-50.01389324558329,50.96308308525785,3.4978167665691275,1.8117227824388873,1.0623758782670336,2,5,-0.37454655259878855
1353.02,34.54399807,1353.03,66.01646112,1353.01,125.8654422,1:2,1:2,1.9110833953332256,1.9065766335340333,-0.0444583023333872,-0.0467116832329833,-742.4536886828345,-1347.2586887120112,0.1818893486054316,0.09517603943898872,0.04991986042678509,1,2,-0.0037990488579643933
1358.03,3.64833292,1358.01,5.64492487,1358.02,8.74287505,2:3,2:3,1.5472614461949925,1.5488027301238467,0.0315076307966615,0.0325351534158977,59.72018764205869,89.57362659643445,1.7222072231224956,1.1130680127509982,0.7186635141468236,2,3,0.03506492493047064
1358.04,2.34585905,1358.03,3.64833292,1358.01,5.64492487,2:3,2:3,1.555222561219098,1.5472614461949925,0.0368150408127319,0.0315076307966615,33.032992670559814,59.72018764205869,2.678415528494598,1.7222072231224956,1.1130680127509982,2,3,0.08499897962971259
1364.02,7.0556802,1364.03,11.97890111,1364.01,20.83424102,3:5,3:5,1.6977670147238249,1.7392447628278316,0.0186602088342948,0.0435468576966988,128.3897861634265,95.68654144971462,0.890514469062754,0.5245210098557684,0.3015797552283278,3,5,-0.01672589551624659
1413.01,12.64500199,1413.02,21.52618726,1413.03,33.88433254,3:5,2:3,1.7023474790295383,1.5740981963379983,0.0214084874177229,0.0493987975586653,201.09956243036223,228.6447863416068,0.4968908120495745,0.2918856568183355,0.1854303991309957,3,6,-0.023716080430321584
1426.01,38.86857676,1426.02,74.92841333,1426.03,150.0216791,1:2,1:2,1.927737508699045,2.0022001325354903,-0.0361312456504775,0.0011000662677451,-1036.8921965054046,68187.56446714011,0.16165205497428112,0.0838558435704111,0.04188184897591635,1,2,-0.006151777785119522
1475.01,1.6093192,1475.03,4.72943361,1475.02,9.51219279,1:3,1:2,2.9387790874551176,2.0112752550088127,-0.0204069708482941,0.0056376275044063,-77.25192933922293,843.6343818889542,3.904250509892373,1.3285280702311384,0.6605401557656598,1,4,-0.09622921820067987
1563.03,3.20541109,1563.01,5.48712478,1563.02,8.29085153,3:5,2:3,1.7118318449444188,1.510964642214679,0.0270991069666513,0.0073097614764525,40.496720329216494,378.0721416928984,1.9601808101249147,1.1450778976416107,0.7578455945621773,3,6,0.1219149189733102
1563.01,5.48712478,1563.02,8.29085153,1563.04,16.73878229,2:3,1:2,1.510964642214679,2.01894609129492,0.0073097614764525,0.0094730456474598,378.0721416928984,883.4952829815812,1.1450778976416107,0.7578455945621773,0.37536692922598414,2,2,0.00950727548648067
1589.04,4.22453347,1589.01,8.72588834,1589.02,12.88282392,1:2,2:3,2.0655270935751395,1.4763911040374371,0.0327635467875697,-0.0157392639750419,133.16458679788803,-272.83833899790363,1.4873086819642565,0.7200625383179711,0.48771801479217813,1,3,0.07021257306890649
1627.03,3.80674591,1627.02,5.93917354,1627.01,10.29672509,2:3,3:5,1.5601707286000603,1.7336966196815324,0.0401138190667067,0.0402179718089195,49.35268093125654,51.20459648696856,1.6505397144249079,1.057922497947347,0.6102120093777881,4,5,0.13191642306244944
1833.01,3.69298793,1833.03,5.70939527,1833.02,7.68434094,2:3,3:4,1.5460097293088093,1.3459115329389342,0.0306731528725394,0.0094336497042006,62.04552119487103,203.64178183811137,1.701382573210735,1.1004992665676108,0.8176609231994313,2,4,0.07041323981353065
1835.02,2.24828597,1835.01,4.58034978,1835.03,6.76690755,1:2,2:3,2.0372629821641417,1.4773779023487592,0.0186314910820708,-0.0150813984341605,122.91957095177656,-149.56410440631325,2.794655747097682,1.3717697575444963,0.9285164989699891,1,3,0.09312621382966446
1860.03,3.07644041,1860.01,6.3194466,1860.02,12.20950873,1:2,1:2,2.054142371637876,1.932053469681981,0.027071185818938,-0.0339732651590094,116.71905771447828,-179.69289488152322,2.042355602519077,0.9942619512252207,0.5146140967769787,1,2,0.08879794239737238
1860.01,6.3194466,1860.02,12.20950873,1860.04,24.84327724,1:2,1:2,1.932053469681981,2.0347483088289664,-0.0339732651590094,0.0173741544144832,-179.69289488152322,714.9492472361846,0.9942619512252207,0.5146140967769787,0.2529129006000493,1,2,-0.043754537905616675
1931.01,4.97759177,1931.03,6.98795025,1931.02,10.55837881,5:7,2:3,1.4038817510339945,1.5109407526191247,0.002772679309996,0.0072938350794165,360.0411354980273,482.525251121374,1.2622942172655485,0.8991456839835954,0.5950899679057439,5,6,-0.008591630057343203
1955.01,15.1701932,1955.04,26.23467287,1955.02,39.45791107,3:5,2:3,1.7293565430663072,1.5040367099496446,0.0376139258397842,0.0026911399664295,139.49446798904228,4887.3849697173,0.4141796498135295,0.2394992816687478,0.1592376569563693,3,6,0.04247135616007425
2025.03,11.18965384,2025.01,17.84848231,2025.02,26.13621077,3:5,2:3,1.5950879772702604,1.4643379933405665,-0.0429472136378438,-0.023774671106289,-83.11823188581643,-366.44335552394176,0.5615173978589838,0.3520291080244562,0.24040153955261304,3,6,-0.04130054132747585
2029.03,6.88724533,2029.02,10.05538883,2029.01,16.33270729,2:3,3:5,1.460001546075316,1.6242740649940632,-0.0266656359497894,-0.0254355610035621,-125.6972188091818,-128.42419546172124,0.9122929424062765,0.6248575180338984,0.3846995599453731,4,5,-0.05104809295311519
2029.04,4.78847692,2029.03,6.88724533,2029.02,10.05538883,5:7,2:3,1.4382956094523685,1.460001546075316,0.0273540067516917,-0.0266656359497894,35.96885088650311,-125.6972188091818,1.3121469335973297,0.9122929424062765,0.6248575180338984,5,6,0.27465740972099795
2038.01,8.30542284,2038.02,12.51345816,2038.03,17.91327996,2:3,5:7,1.5066611780117387,1.431521145550384,0.0044407853411589,0.0225151039645601,939.2826717698042,113.65881313778377,0.756516005051416,0.5021142218914476,0.35075571426393237,4,7,-0.04190242075273254
