,KIC,KOI,Kepler,Period,Rp/R*,Status
5930,2303903,4709.01,               ,3.70854872,0.016377, PPPP
5931,9278216,4710.01,               ,9.45303247,0.014114, PPPP
5932,8355131,4711.01,               ,4.36384369,0.012946, PPPP
5934,5253802,4713.01,               ,8.7963162,0.009135, PPPP
5935,12554634,4714.01,               ,2.04960466,0.012797, PPPP
5936,6264750,4715.01,               ,53.28803829,0.011799, PPPP
5937,11290515,4716.01,               ,5.89429078,0.004923, PPPP
5939,4902202,4717.01,               ,216.4571105,0.029132, PPFN
5947,7778621,4725.01, Kepler-1967 b ,7.28170138,0.009529, PPPP
5955,9021075,4733.01, Kepler-1968 b ,7.2811712,0.016489, PPPP
5957,11338056,4735.01,               ,2.87998853,0.009737, PPPP
5959,7266212,4737.01,               ,7.79534766,0.009256, PPPP
5964,4138008,4742.01, Kepler-442 b  ,112.3025526,0.020121, PPPP
5967,11757451,4745.01, Kepler-443 b  ,177.6698493,0.026639, PPPP
5969,8047428,4747.01, Kepler-1621 b ,92.26433098,0.015777, PPPP
5970,11513486,4748.01, Kepler-1969 b ,6.64751618,0.015957, PPPP
5971,6520519,4749.01,               ,1.976502,0.009937, PPPP
5972,5308296,4750.01,               ,36.71842386,0.021716, PPPP
5976,10291589,4754.01,               ,7.08763885,0.012649, PPPP
5977,10118266,4755.01,               ,3.7431611,0.014607, PPPN
5978,5695615,4756.01,               ,5.41686193,0.009132, PPPP
5981,7949593,4759.01,               ,17.76667438,0.012424, PPPP
5984,7098255,4762.01,               ,11.56714893,0.017265, PPPP
5985,8349399,4763.01,               ,56.44722429,0.011131, PPPP
5986,6043562,4764.01,               ,31.42019206,0.017944, PPPP
5987,10615440,4765.01, Kepler-1622 b ,10.81207281,0.008132, PPPP
5988,4919550,4766.01,               ,5.56675626,0.011859, PPPP
5991,10221505,4768.01,               ,3.43633298,0.020334, PPPP
5994,11658036,4771.01,               ,142.7039042,0.014179, PPPN
5995,8397947,4772.01,               ,3.38085113,0.01309, PPPP
5996,8397947,4772.02, Kepler-1705 b ,9.01805462,0.011577, PPNN
5998,8397947,4772.04,               ,5.14993121,0.011135, PNNN
5999,7906892,4773.01,               ,8.84935359,0.006161, PPPP
6000,7906892,4773.02,               ,11.14432601,0.006137, PPPN
6001,4277304,4774.01,               ,51.5673061,0.013228, PPPP
6002,8626325,4775.01,               ,16.44906083,0.007753, PPPP
6003,8054719,4776.01,               ,7.58619815,0.010056, PPPP
6004,6592335,4777.01, Kepler-1971 b ,0.82400164,0.012097, PPNP
6008,3849187,4780.01,               ,6.60179442,0.01347, PPPP
6011,8973285,4782.01,               ,7.42125901,0.01407, PPNN
6012,8973285,4782.02,               ,4.29245971,0.013875, PPPP
6020,8328916,4790.01,               ,6.07840085,0.00903, PPNN
6022,11618569,4792.01,               ,5.75907739,0.007873, PPPP
6023,6220312,4793.01,               ,5.27327775,0.008601, PPPP
6024,6358937,4794.01,               ,24.50392623,0.009913, PPPP
6027,7771181,4797.01,               ,9.97199467,0.017118, PPPN
6029,8278073,4799.01,               ,12.07271084,0.00937, PPPP
6031,10810859,4801.01,               ,82.39808646,0.020052, PPPP
6033,4473613,4803.01, Kepler-1623 b ,4.36129898,0.012515, PPPP
6034,10676750,4804.01,               ,21.08685562,0.021141, PPPP
6038,9419020,4808.01,               ,2.4017591,0.014467, PPPP
6040,4270799,4810.01,               ,115.2374903,0.020387, PPPP
6041,8811490,4811.01,               ,21.74198533,0.011234, PPPP
6043,4840672,4813.01,               ,9.2291384,0.014366, PPPN
6045,7287677,4815.01,               ,18.3720073,0.011631, PPPP
6048,9459162,4818.01,               ,3.79895232,0.006301, PPPN
6050,9969287,4820.01,               ,14.73987863,0.014472, PPPP
6052,9702945,4822.01,               ,3.5141307,0.005296, PPNP
6053,11401253,4823.01,               ,4.96508588,0.006506, PPPP
6056,10549902,4826.01,               ,1.14114126,0.007847, PPPP
6057,5651846,4827.01,               ,31.1919539,0.019781, PPPP
6059,12401132,4829.01,               ,7.63053482,0.017544, PPPP
6064,10584140,4833.01,               ,4.31724952,0.007071, PPPP
6065,8233326,4834.01,               ,3.74107157,0.005305, PPPP
6068,5645170,4837.01,               ,5.38610144,0.012222, PPPP
6069,8216763,4838.01,               ,13.29764143,0.012021, PPPP
6070,8216763,4838.02,               ,6.33332367,0.009918, PPPP
6072,9110610,4839.01,               ,21.84195974,0.008349, PPPN
6073,6665860,4840.01,               ,10.47156877,0.010311, PPPP
6077,3098605,4844.01,               ,0.42804352,0.010873, PPPP
6079,8320630,4846.01,               ,19.25472698,0.012362, PPFP
6080,8320630,4846.02,               ,32.52749653,0.013425, PPPN
6082,9005321,4848.01,               ,384.6923346,0.022831, PPNN
6083,2976017,4849.01,               ,3.19940163,0.008062, PPPP
6084,6786224,4850.01,               ,3.0418631,0.007754, PPPP
6086,11072016,4852.01,               ,1.89871439,0.008184, PPPP
6087,3758922,4853.01,               ,17.74126085,0.010945, PPPP
6088,8360041,4854.01,               ,2.63527502,0.007648, PPPP
6090,9782748,4856.01,               ,147.386317,0.027908, PPPP
6091,2860656,4857.01,               ,4.11493245,0.011711, PPPP
6093,7094944,4859.01,               ,7.5021443,0.014256, PPPP
6095,6425597,4861.01,               ,29.12094689,0.018746, PPPF
6096,11973517,4862.01,               ,0.90376299,0.019376, PPNN
6098,7345248,4864.01,               ,5.66495887,0.005606, PPNP
6105,6767227,4871.01,               ,4.08197816,0.004919, PPPP
6106,6767227,4871.02,               ,5.52239578,0.00509, PPNP
6110,2986833,4875.01,               ,0.9121763,0.01132, PPPP
6112,9581589,4877.01,               ,5.19213673,0.007432, PPPP
6113,11804437,4878.01,               ,449.0165385,0.008914, PPNN
6116,8094120,4881.01,               ,5.67971257,0.006586, PPPP
6121,9935642,4885.01,               ,9.33947481,0.014315, PPPP
6122,7692248,4886.01,               ,17.99572839,0.028367, PPNP
