,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios
159,408.01,7.38198936,408.02,12.56091384,1.7015621707696418
160,408.02,12.56091384,408.03,30.82609632,2.4541284744613776
161,408.03,30.82609632,408.06,637.2480608,20.672356765022915
162,413.01,15.22895588,413.02,24.67475514,1.620252585563338
163,416.05,4.11955211,416.03,9.74756597,2.3661712996270365
164,416.03,9.74756597,416.01,18.20795268,1.867948648517841
165,416.01,18.20795268,416.04,31.53403359,1.7318824441277054
166,416.04,31.53403359,416.02,88.25536892,2.798733903422597
167,427.01,24.61485437,427.02,42.94955401,1.7448632181365207
168,427.02,42.94955401,427.03,117.0424474,2.725114383556785
169,430.02,9.34045389,430.01,12.37645383,1.3250377311160841
170,431.01,18.87018342,431.02,46.90266828,2.4855438463989237
171,433.01,4.03046803,433.02,328.240228,81.43972996605062
172,435.04,3.93278092,435.06,9.91939956,2.5222354770781386
173,435.06,9.91939956,435.01,20.5498169,2.0716795180695393
174,435.01,20.5498169,435.03,33.04053863,1.6078264244777773
175,435.03,33.04053863,435.05,62.30263211,1.885642144266702
176,438.01,5.93119261,438.02,52.66157091,8.878749076739222
177,440.02,4.97345963,440.01,15.90688861,3.19835482609517
178,442.02,1.73234167,442.03,7.0257493,4.055637188476798
179,442.03,7.0257493,442.01,13.54053864,1.927273243296626
180,446.01,16.70921713,446.02,28.55164348,1.7087361578860518
181,448.01,10.13960248,448.02,43.58438291,4.298431126463648
182,456.02,4.30940952,456.01,13.69942891,3.1789573133908147
183,457.01,4.92135977,457.02,7.06426469,1.4354294382343034
184,459.02,6.91981926,459.01,19.44636542,2.8102418125874578
185,460.01,17.5875312,460.02,36.04886497,2.049683071493286
186,464.02,5.3501635,464.01,58.36198569,10.908449001605279
187,471.02,7.81101259,471.01,21.34741148,2.7329889990613885
188,474.04,5.03505983,474.01,10.94578822,2.173914231323047
189,474.01,10.94578822,474.02,28.98692645,2.648226502047195
190,475.01,8.18090368,475.02,15.31293941,1.8717906980662558
191,481.02,1.55400115,481.01,7.6502455,4.922934259089834
192,481.01,7.6502455,481.03,34.25955548,4.478229552241167
193,490.01,4.39316065,490.03,7.40609383,1.685823583528638
194,490.03,7.40609383,490.04,21.80364252,2.9440138108539196
195,490.04,21.80364252,490.02,1071.232713,49.13090608678719
196,497.02,4.42535209,497.01,13.19321756,2.9812808770205677
197,500.05,0.98678597,500.03,3.07215234,3.1132914668415888
198,500.03,3.07215234,500.04,4.64539336,1.512097333037853
199,500.04,4.64539336,500.01,7.05352865,1.5183921152373627
200,500.01,7.05352865,500.02,9.52164568,1.3499123846331866
201,500.02,9.52164568,500.06,14.64538173,1.5381145468122481
202,505.03,3.25056897,505.02,6.19544791,1.905957992947924
203,505.02,6.19544791,505.04,8.34818212,1.347470310665561
204,505.04,8.34818212,505.01,13.76710208,1.649113768974652
205,505.01,13.76710208,505.05,87.0911645,6.326034629068429
206,508.01,7.93058498,508.02,16.66590239,2.1014720139850263
207,509.01,4.16696215,509.02,11.46349762,2.751044335739887
208,509.02,11.46349762,509.03,39.60630445,3.4549930364097725
209,510.01,2.94030314,510.02,6.38898868,2.1729013560146044
210,510.02,6.38898868,510.03,14.62708988,2.2894217868609528
211,510.03,14.62708988,510.04,35.11862043,2.400930104218379
212,511.02,4.26376338,511.01,8.00578284,1.8776330031710156
213,518.01,13.98179504,518.02,44.00029983,3.14697073616951
214,518.02,44.00029983,518.03,247.3546796,5.621658955863528
215,519.01,11.90352219,519.02,34.03512452,2.859248210466015
216,520.02,5.43312253,520.01,12.75933213,2.3484344517442715
217,520.01,12.75933213,520.03,25.75279012,2.0183493820534317
218,520.03,25.75279012,520.04,51.16575644,1.9868043890228388
219,521.02,5.41029086,521.01,10.16102331,1.8780918758219958
220,523.02,36.85699247,523.01,49.41119585,1.3406193109819955
221,528.01,9.57666496,528.03,20.55273599,2.146126660569735
222,528.03,20.55273599,528.02,96.67842374,4.703919895970989
223,533.02,3.52467044,533.01,16.54966448,4.695379259344315
224,534.02,2.73589844,534.01,6.40015203,2.339323688491887
225,542.03,7.55531428,542.02,13.81743544,1.8288366212080327
226,542.02,13.81743544,542.01,41.8852866,3.031335791788581
227,543.02,3.13785766,543.01,4.30213778,1.3710430000830567
228,546.02,9.82580216,546.01,20.68421752,2.1050919999390665
229,547.02,7.34671695,547.03,12.38603302,1.685927619683238
230,547.03,12.38603302,547.01,25.30293703,2.042860453314051
231,548.02,6.08004606,548.01,21.30020878,3.503297272718358
232,551.02,5.68797582,551.01,11.63704902,2.045903391340366
233,555.01,3.70176769,555.02,86.49433321,23.365683763369816
234,564.03,6.21712927,564.01,21.0861997,3.391629606569207
235,564.01,21.0861997,564.02,127.9089824,6.066004506255339
236,566.02,14.15716646,566.01,25.85495982,1.8262806962856042
237,566.01,25.85495982,566.03,42.06694616,1.6270358357880441
238,567.01,10.68759102,567.02,20.30308048,1.8996872580552768
239,567.02,20.30308048,567.03,29.02256398,1.42946603637755
240,568.02,2.35896842,568.01,3.38353654,1.4343288834701737
241,569.02,1.63291188,569.01,20.72906978,12.694542818807834
242,571.03,3.88677804,571.01,7.26730367,1.8697501105568666
243,571.01,7.26730367,571.02,13.34299753,1.836031372279232
244,571.02,13.34299753,571.04,22.40768305,1.67935900457294
245,571.04,22.40768305,571.05,129.9445093,5.799105110958806
246,572.02,4.93882366,572.01,10.64023683,2.15440711442611
247,573.02,2.06190388,573.01,5.99653611,2.9082520131830782
248,574.02,10.39985273,574.01,20.1348782,1.9360733966854933
249,577.02,0.63816104,577.01,39.6763843,62.17299680344009
250,579.01,2.01999966,579.02,3.76304253,1.862892655140348
251,581.01,6.99692283,581.02,151.8638796,21.704381095768063
252,582.01,5.9450441,582.03,9.93957896,1.6719100468909895
253,582.03,9.93957896,582.02,17.73852352,1.7846353041095013
254,584.03,6.47031853,584.01,9.92671257,1.5341922540558446
255,584.01,9.92671257,584.02,21.22354847,2.138023874504105
256,590.01,11.38842051,590.02,50.69868362,4.451774815961726
257,593.01,9.99759192,593.03,51.0671184,5.1079418732666175
258,593.03,51.0671184,593.02,90.41218604,1.7704579555834112
259,593.02,90.41218604,593.04,240.1996788,2.6567179638122154
260,597.02,2.0922703,597.01,17.30799489,8.272351277939567
261,597.01,17.30799489,597.03,52.81512831,3.0514873990698295
262,598.01,8.30783562,598.02,34.09678097,4.104171354560334
263,600.01,3.59576335,600.02,294.0521699,81.77739780900765
264,601.03,1.20845818,601.01,5.40428247,4.472047572221324
265,601.01,5.40428247,601.02,11.67894843,2.1610544035830164
266,605.01,2.62811611,605.02,5.06543465,1.9274013924750075
267,612.01,20.73987225,612.02,47.42767093,2.2867870331264935
268,612.02,47.42767093,612.03,122.0805836,2.5740370801716703
269,620.01,45.15526672,620.03,85.31655302,1.8894042537503586
270,620.03,85.31655302,620.02,130.1781993,1.5258258179920077
271,623.03,5.59932438,623.01,10.34974362,1.8483915054051576
272,623.01,10.34974362,623.02,15.67754049,1.5147757341258663
273,623.02,15.67754049,623.04,25.2104678,1.6080626815207797
274,624.03,1.3118427,624.01,17.79000592,13.561081614434414
275,624.01,17.79000592,624.02,49.56744103,2.786252081809313
276,626.02,8.02929398,626.01,14.58654865,1.8166664075737327
277,627.02,4.16539422,627.01,7.75193756,1.8610333501639134
278,638.01,23.64200635,638.02,67.09309093,2.837876360269229
279,645.01,8.50336616,645.02,23.78308751,2.796902669189539
280,647.01,5.16950931,647.02,8.11359248,1.5695092113104252
281,649.02,10.20885198,649.01,23.44974389,2.297001066911345
282,654.01,8.59481155,654.02,10.22213881,1.1893383293552262
283,655.01,25.67218794,655.02,151.8851624,5.916331041007485
284,657.01,4.06942821,657.02,16.28244811,4.001163620478269
285,658.01,3.16269483,658.02,5.37064519,1.6981231129403656
286,658.02,5.37064519,658.03,11.32962525,2.1095464044237113
287,661.01,14.40090822,661.02,25.66177205,1.7819551140782146
288,663.01,2.75563748,663.02,20.30656427,7.369098590573677
289,664.02,7.78197031,664.01,13.13740786,1.6881852971243216
290,664.01,13.13740786,664.03,23.44304949,1.7844501548420375
291,665.02,1.61188863,665.03,3.07156191,1.9055670800283515
292,665.03,3.07156191,665.01,5.86806838,1.9104509535996952
293,671.01,4.22862702,671.02,7.46662904,1.765733654135332
294,671.02,7.46662904,671.04,11.13189834,1.4908867549686116
295,671.04,11.13189834,671.03,16.25955008,1.4606268925017871
296,672.01,16.08790886,672.02,41.74931097,2.5950738118490313
297,676.02,2.45323551,676.01,7.97251436,3.2497957605382943
298,678.02,4.1385355,678.01,6.04046403,1.459565595124169
299,679.02,16.25817723,679.01,31.80493616,1.9562424317353808
300,691.03,10.91399951,691.02,16.22548963,1.4866676157657257
301,691.02,16.22548963,691.01,29.66624281,1.8283727324412338
302,692.01,2.46233666,692.02,4.82298195,1.9587012727983344
303,693.02,15.66059488,693.01,28.7797208,1.8377156819728677
304,700.02,9.36057471,700.03,14.66723806,1.5669164035762502
305,700.03,14.66723806,700.01,30.864343,2.1043050418723483
306,700.01,30.864343,700.04,68.16079424,2.2083993247483025
307,701.02,5.71489033,701.05,12.44179722,2.177084161123351
308,701.05,12.44179722,701.01,18.16405902,1.4599224451915638
309,701.01,18.16405902,701.03,122.3858876,6.737804995306606
310,701.03,122.3858876,701.04,267.284615,2.1839496386509842
311,707.05,5.66811063,707.04,13.1755712,2.3245084755870407
312,707.04,13.1755712,707.01,21.77566845,1.6527305055282917
313,707.01,21.77566845,707.03,31.78484972,1.4596497826453634
314,707.03,31.78484972,707.02,41.02789654,1.2908003939431556
315,708.02,7.69364507,708.01,17.40668852,2.262476155531828
316,710.03,3.8868617,710.01,5.37492471,1.3828443420047594
317,710.01,5.37492471,710.02,8.58604236,1.597425605613739
318,711.02,3.61930475,711.01,44.69965891,12.35034405710102
319,711.01,44.69965891,711.03,124.5249337,2.7858139577915635
320,717.02,0.90037542,717.01,14.70749839,16.334851066902736
321,718.01,4.58546215,718.02,22.71445498,4.9535803016060225
322,718.02,22.71445498,718.03,47.90344231,2.108940863964327
323,719.04,4.15982225,719.01,9.03418745,2.1717724717684748
324,719.01,9.03418745,719.02,28.12264106,3.112913166308056
325,719.02,28.12264106,719.03,45.90267989,1.6322321858770685
326,720.04,2.79589907,720.01,5.69059352,2.0353358177553957
327,720.01,5.69059352,720.02,10.04156732,1.7645905097083792
328,720.02,10.04156732,720.03,18.36972561,1.829368366969231
329,723.01,3.93699397,723.03,10.08881642,2.562568420697886
330,723.03,10.08881642,723.02,28.08191917,2.783470131771909
331,730.04,7.38445597,730.02,9.84821114,1.3336407150383482
332,730.02,9.84821114,730.01,14.78701236,1.5014922151638597
333,730.01,14.78701236,730.03,19.72433675,1.3338960075096602
334,732.01,1.26025793,732.02,3.29530461,2.6147858557811254
335,732.02,3.29530461,732.03,5.25453383,1.5945517795394337
336,733.03,3.13295549,733.01,5.92498617,1.8911810872870078
337,733.01,5.92498617,733.02,11.34934777,1.9155062044642712
338,733.02,11.34934777,733.04,18.6435031,1.6426937897947593
339,734.01,24.54368406,734.02,70.27778903,2.863375720539649
340,736.02,6.73897704,736.01,18.7941852,2.788878057967089
341,738.01,10.33923636,738.02,13.28712397,1.2851165702531633
342,749.02,3.94106174,749.01,5.34956967,1.3573930130817997
343,749.01,5.34956967,749.03,8.10901972,1.5158265468482064
344,750.02,5.04416027,750.03,14.51677802,2.877937504551179
345,750.03,14.51677802,750.01,21.67695486,1.4932345752022458
346,752.01,9.48803874,752.02,54.4186222,5.735497471208681
347,756.03,2.56656946,756.02,4.13444128,1.61088228642758
348,756.02,4.13444128,756.01,11.09433544,2.6833941247800235
349,757.03,6.25294127,757.01,16.06864266,2.5697734819761067
350,757.01,16.06864266,757.02,41.19712515,2.563821103107411
351,759.01,32.62891703,759.02,91.77190394,2.812594235218478
352,775.02,7.87742204,775.01,16.38490222,2.079982783301528
353,775.01,16.38490222,775.03,36.44519458,2.2243156590531057
354,780.01,2.33743889,780.02,7.24066724,3.0976926374319027
355,784.02,10.06525908,784.01,19.27160315,1.9146653848476993
356,787.03,0.58936958,787.01,4.43123472,7.518601010931037
357,787.01,4.43123472,787.02,11.37935033,2.5679863625007884
358,790.01,8.47238544,790.02,60.4192998,7.131320951800323
359,800.01,2.71150261,800.02,7.21202595,2.6597894183845168
360,806.03,29.31475445,806.02,60.32524674,2.057845882451183
361,806.02,60.32524674,806.01,143.2070119,2.3739150627467454
362,812.01,3.34021993,812.04,7.82502184,2.3426666518931882
363,812.04,7.82502184,812.02,20.06028585,2.5636076499436324
364,812.02,20.06028585,812.03,46.18436051,2.302278285331612
365,817.02,8.29562934,817.01,23.96790592,2.889220930403817
366,825.02,4.71513167,825.01,8.10363151,1.7186437361992055
367,829.02,9.75192499,829.01,18.64929387,1.9123705206022101
368,829.01,18.64929387,829.03,38.55762762,2.0675113968805725
369,834.04,2.09082239,834.03,6.15560917,2.9441090737506403
370,834.03,6.15560917,834.02,13.23350423,2.1498285327299294
371,834.02,13.23350423,834.01,23.65369289,1.7874096292936312
372,834.01,23.65369289,834.05,50.4468756,2.132727258893569
373,835.01,11.76308642,835.02,56.22767257,4.78001015740221
374,837.02,4.14453332,837.01,7.95354221,1.9190440987937336
375,841.03,6.54626957,841.01,15.3352934,2.342600352157511
376,841.01,15.3352934,841.02,31.33038711,2.043024955101283
377,841.02,31.33038711,841.04,269.3087336,8.595767829311063
378,841.04,269.3087336,841.05,499.4680938,1.854630138144172
379,842.01,12.71807129,842.02,36.06595636,2.835803915359245
380,847.01,80.87228111,847.02,1106.242541,13.678883862510602
381,853.01,8.20397795,853.02,14.49635856,1.766991409332103
382,857.01,5.71542364,857.02,20.02621667,3.5038901630745958
383,864.01,4.31178142,864.03,9.76734394,2.2652688039088957
384,864.03,9.76734394,864.02,20.05038278,2.0527978643086464
385,869.04,3.21982901,869.01,7.49018556,2.3262681144673576
386,869.01,7.49018556,869.03,17.46091637,2.331172736660479
387,869.03,17.46091637,869.02,36.27556467,2.077529260281315
388,870.01,5.91227096,870.02,8.98580316,1.5198564512340957
389,872.02,6.76648308,872.01,33.60123257,4.9658341227981015
390,874.01,4.60181386,874.02,11.18713219,2.431026662603863
391,877.01,5.95489264,877.02,12.03986967,2.021844959743892
392,877.02,12.03986967,877.03,20.83773609,1.7307277122709916
393,880.04,2.38295821,880.03,5.90225497,2.476860460763179
394,880.03,5.90225497,880.01,26.44432103,4.480375918087456
395,880.01,26.44432103,880.02,51.53924299,1.9489720659316923
396,881.01,21.02243609,881.02,226.8902878,10.792768584413855
397,884.03,3.33612251,884.01,9.43946259,2.8294712084778926
398,884.01,9.43946259,884.02,20.47726587,2.1693253905887877
399,886.01,8.01084154,886.02,12.07138695,1.5068812545754091
400,886.02,12.07138695,886.03,20.99581773,1.7393045071759543
401,892.02,3.96997517,892.01,10.37171104,2.6125380124228834
402,896.02,6.30820415,896.01,16.239483,2.5743432859572244
403,896.01,16.239483,896.03,28.86686825,1.777573106853217
404,898.02,5.16980121,898.01,9.77045018,1.8899082930115216
405,898.01,9.77045018,898.03,20.09010164,2.0562104375829287
406,899.02,3.30654654,899.01,7.11375661,2.1514158424638414
407,899.01,7.11375661,899.03,15.36845633,2.1603854577195043
408,904.01,2.21112226,904.04,4.61748122,2.0882975598101936
409,904.04,4.61748122,904.05,10.19848207,2.208667796162688
410,904.05,10.19848207,904.02,27.95473903,2.741068605908722
411,904.02,27.95473903,904.03,42.14014148,1.5074417770374013
412,906.03,4.14812194,906.01,7.15680955,1.7253132028225766
413,906.01,7.15680955,906.02,17.64825801,2.465939310904256
414,907.03,4.79094409,907.01,16.51409124,3.446938834971877
415,907.01,16.51409124,907.02,30.13307325,1.8246885530711165
416,907.02,30.13307325,907.04,99.64120749,3.3067057801679756
417,911.01,4.09357574,911.02,105.144872,25.68533689815154
418,912.02,6.66832136,912.01,10.84844743,1.6268633205163945
419,921.03,3.78403195,921.01,10.28195555,2.71719575465001
420,921.01,10.28195555,921.02,18.11994245,1.76230507532198
421,929.02,2.85183816,929.01,6.4916814,2.2763147962084918
422,934.01,5.82665776,934.02,12.41211141,2.130228326641927
423,934.02,12.41211141,934.03,18.74643825,1.5103343525338209
424,935.04,9.61727175,935.01,20.86019269,2.1690343407422175
425,935.01,20.86019269,935.02,42.63416415,2.043804905524101
426,935.02,42.63416415,935.03,87.64796817,2.055815328327482
427,936.02,0.89304225,936.01,9.4678198,10.60176021907138
428,938.02,1.04561691,938.03,5.7146465,5.465334813684297
429,938.03,5.7146465,938.01,9.94601044,1.740441939847023
430,939.03,1.62047082,939.01,3.38802126,2.0907635103235
431,939.01,3.38802126,939.02,5.83910412,1.7234555724127893
432,939.02,5.83910412,939.04,10.68168283,1.8293359067555042
433,941.02,2.38265152,941.01,6.58147957,2.7622501716071346
434,941.01,6.58147957,941.03,24.66454632,3.7475686215645276
435,945.01,25.84737065,945.02,40.71542259,1.5752249287298399
436,945.02,40.71542259,945.03,66.78930932,1.6403933711449168
437,951.01,13.19720551,951.02,33.65299932,2.550009492123155
438,952.05,0.74295778,952.04,2.89600175,3.8979358288703834
439,952.04,2.89600175,952.01,5.90127763,2.0377327568949157
440,952.01,5.90127763,952.02,8.75207596,1.4830815475461712
441,952.02,8.75207596,952.03,22.78077231,2.6028992908786406
442,954.01,8.11527548,954.02,36.92496046,4.550056316757346
443,961.02,0.45328751,961.01,1.21377045,2.677705481009172
444,961.01,1.21377045,961.03,1.86511356,1.5366279184008804
445,972.02,7.82192885,972.01,13.11895869,1.6772025086881224
446,986.01,8.18738634,986.02,76.04972469,9.2886449389171
447,988.01,10.38120072,988.02,24.5709546,2.3668701976508935
448,992.02,4.57833858,992.01,9.93151355,2.169239643696251
449,993.02,13.0607061,993.01,21.85372099,1.673241922961577
450,993.01,21.85372099,993.03,86.72276988,3.9683296917574493
451,999.01,16.56807582,999.02,47.33285645,2.8568710672402027
452,1001.01,40.80663439,1001.02,140.1068294,3.433432614436204
453,1015.02,4.08895768,1015.01,9.42885228,2.305930512834263
