KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
1713.02,2.24049,1713.01,6.82780,3.04746,3:1,0.0158200,143.864
1831.03,34.2059,1831.01,51.8099,1.51465,3:2,0.00976390,1768.76
1832.02,12.7622,1832.03,38.7147,3.03355,3:1,0.0111832,1153.96
1833.03,5.70940,1833.02,7.68434,1.34591,4:3,0.00943365,203.642
1835.02,2.24829,1835.01,4.58035,2.03726,2:1,0.0186315,122.920
1835.01,4.58035,1835.03,6.76691,1.47738,3:2,-0.0150814,-149.564
1840.01,7.03934,1840.02,9.38895,1.33378,4:3,0.000337188,6961.22
1843.01,4.19450,1843.02,6.35581,1.51527,3:2,0.0101816,208.083
1858.02,86.0557,1858.01,116.331,1.35181,4:3,0.0138594,2098.41
1860.02,12.2095,1860.04,24.8433,2.03475,2:1,0.0173742,714.949
1909.01,12.7580,1909.03,25.0984,1.96727,2:1,-0.0163649,-766.838
1920.02,10.1383,1920.01,16.5710,1.63449,5:3,-0.0193054,-171.672
1929.02,3.29277,1929.01,9.69309,2.94375,3:1,-0.0187497,-172.324
1931.03,6.98795,1931.02,10.5584,1.51094,3:2,0.00729384,482.525
1931.01,4.97759,1931.03,6.98795,1.40388,7:5,0.00277268,360.041
1955.04,26.2347,1955.02,39.4579,1.50404,3:2,0.00269114,4887.38
1977.02,7.41554,1977.01,9.38742,1.26591,5:4,0.0127304,147.481
2007.01,15.3790,2007.02,21.1286,1.37386,7:5,-0.0186708,-161.663
2034.02,2.37028,2034.01,3.60932,1.52274,3:2,0.0151596,79.3627
2038.01,8.30542,2038.02,12.5135,1.50666,3:2,0.00444079,939.283
2038.03,17.9133,2038.04,25.2149,1.40761,7:5,0.00543367,662.926
2055.04,6.13081,2055.01,8.67892,1.41562,7:5,0.0111602,111.095
2055.02,4.02583,2055.04,6.13081,1.52287,3:2,0.0152448,134.052
2086.01,7.13295,2086.02,8.91898,1.25039,5:4,0.000312836,5702.01
2086.02,8.91898,2086.03,11.8982,1.33404,4:3,0.000527852,5635.22
2092.01,57.6894,2092.03,77.0894,1.33628,4:3,0.00221334,8707.37
2163.01,10.6649,2163.02,17.7835,1.66747,5:3,0.000481512,7386.51
2169.02,3.26662,2169.03,4.27224,1.30785,4:3,-0.0191156,-55.8736
2173.01,37.8155,2173.02,53.5786,1.41684,7:5,0.0120314,636.178
2195.01,20.0547,2195.02,30.0902,1.50041,3:2,0.000271799,36902.5
2199.02,3.05294,2199.01,9.03320,2.95885,3:1,-0.0137166,-219.519
2218.01,5.53535,2218.02,16.7263,3.02172,3:1,0.00723991,770.096
2220.02,5.02817,2220.04,7.66464,1.52434,3:2,0.0162266,157.450
2236.02,12.1257,2236.01,19.9865,1.64828,5:3,-0.0110294,-362.422
2248.01,2.81814,2248.05,4.74508,1.68376,5:3,0.0102574,92.5204
2263.02,9.47852,2263.03,15.5946,1.64525,5:3,-0.0128475,-242.765
2369.03,7.22748,2369.01,11.0182,1.52449,3:2,0.0163258,224.965
2414.01,22.5968,2414.02,45.3484,2.00685,2:1,0.00342377,6622.58
2433.02,10.0438,2433.01,15.1621,1.50960,3:2,0.00639985,789.713
2433.06,6.06325,2433.02,10.0438,1.65650,5:3,-0.00609703,-329.466
2433.04,27.9043,2433.03,56.4158,2.02176,2:1,0.0108816,2592.26
2458.02,2.93659,2458.01,4.35410,1.48271,3:2,-0.0115297,-125.880
2579.01,2.72961,2579.02,3.59647,1.31758,4:3,-0.0118165,-76.0899
2585.03,7.87846,2585.02,10.4231,1.32299,4:3,-0.00775986,-335.802
2585.01,5.34182,2585.03,7.87846,1.47486,3:2,-0.0167580,-156.711
2597.03,5.61356,2597.01,8.00503,1.42602,7:5,0.0185840,61.5356
2597.01,8.00503,2597.02,12.1307,1.51539,3:2,0.0102586,394.165
2612.01,4.61226,2612.02,7.57303,1.64193,5:3,-0.0148391,-102.069
2623.02,4.02658,2623.01,5.57652,1.38493,7:5,-0.0107654,-74.0007
2693.03,6.83441,2693.02,11.4195,1.67088,5:3,0.00252648,903.982
2693.01,4.08142,2693.03,6.83441,1.67452,5:3,0.00471103,290.145
2704.01,4.87123,2704.03,8.15276,1.67366,5:3,0.00419365,388.814
2722.03,4.02875,2722.01,6.12478,1.52027,3:2,0.0135120,151.095
2722.04,8.92112,2722.02,11.2427,1.26023,5:4,0.00818776,274.622
2722.02,11.2427,2722.05,16.5340,1.47064,3:2,-0.0195732,-281.576
2739.02,7.09553,2739.01,10.1078,1.42452,7:5,0.0175173,82.4307
2768.01,11.8290,2768.02,14.7477,1.24674,5:4,-0.00260794,-1130.99
2840.01,3.67935,2840.02,7.44647,2.02385,2:1,0.0119273,312.161
2842.03,3.03621,2842.02,5.14892,1.69584,5:3,0.0175014,58.8401
2859.01,3.44621,2859.03,4.28887,1.24452,5:4,-0.00438392,-195.664
2859.03,4.28887,2859.05,5.43100,1.26630,5:4,0.0130395,83.3004
