,KIC,KOI,Kepler,Period,Rp
1016,9334289,934.03, Kepler-254 d  ,18.74643825,2.545
1017,9347899,935.01, Kepler-31 b   ,20.86019269,5.336
1018,9347899,935.02, Kepler-31 c   ,42.63416415,5.05
1019,9347899,935.03, Kepler-31 d   ,87.64796817,3.908
1020,9347899,935.04,               ,9.61727175,1.888
1024,9415172,938.01, Kepler-255 c  ,9.94601044,2.891
1025,9415172,938.02, Kepler-255 d  ,1.04561691,1.345
1026,9415172,938.03, Kepler-255 b  ,5.7146465,1.597
1027,9466668,939.01, Kepler-256 c  ,3.38802126,1.62
1028,9466668,939.02, Kepler-256 d  ,5.83910412,1.599
1029,9466668,939.03, Kepler-256 b  ,1.62047082,1.223
1030,9466668,939.04, Kepler-256 e  ,10.68168283,1.694
1032,9480189,941.01, Kepler-257 c  ,6.58147957,3.821
1033,9480189,941.02, Kepler-257 b  ,2.38265152,2.112
1034,9480189,941.03, Kepler-257 d  ,24.66454632,3.879
1037,9605514,945.01, Kepler-1666 b ,25.84737065,2.612
1038,9605514,945.02, Kepler-1666 c ,40.71542259,2.919
1039,9605514,945.03,               ,66.78930932,2.172
1046,9787239,952.01, Kepler-32 b   ,5.90127763,2.236
1047,9787239,952.02, Kepler-32 c   ,8.75207596,2.133
1048,9787239,952.03, Kepler-32 d   ,22.78077231,2.514
1049,9787239,952.04, Kepler-32 e   ,2.89600175,1.427
1050,9787239,952.05, Kepler-32 f   ,0.74295778,2.11
1057,8561063,961.01, Kepler-42 b   ,1.21377045,0.781
1058,8561063,961.02, Kepler-42 c   ,0.45328751,0.875
1059,8561063,961.03, Kepler-42 d   ,1.86511356,0.694
1074,1718189,993.01, Kepler-262 c  ,21.85372099,1.554
1075,1718189,993.02, Kepler-262 b  ,13.0607061,1.276
1076,1718189,993.03,               ,86.72276988,1.266
1086,8158127,1015.01, Kepler-750 b  ,9.42885228,3.252
1087,8158127,1015.02, Kepler-750 c  ,4.08895768,1.722
1088,8158127,1015.03,               ,16.99740881,2.07
1098,5956342,1052.01, Kepler-265 c  ,17.02904726,2.273
1099,5956342,1052.02, Kepler-265 b  ,6.84619728,1.509
1100,5956342,1052.03, Kepler-265 e  ,67.83179028,2.152
1101,5956342,1052.04, Kepler-265 d  ,43.13122259,2.03
1105,5880320,1060.01, Kepler-758 b  ,12.10967032,2.616
1106,5880320,1060.02, Kepler-758 c  ,4.75797889,1.725
1107,5880320,1060.03, Kepler-758 d  ,20.4963261,2.404
1108,5880320,1060.04, Kepler-758 e  ,8.19342614,1.662
1117,10166274,1078.01, Kepler-267 b  ,3.35372858,1.93
1118,10166274,1078.02, Kepler-267 c  ,6.87745515,2.184
1119,10166274,1078.03, Kepler-267 d  ,28.46459622,2.19
1121,10141900,1082.01,               ,6.50324324,1.677
1122,10141900,1082.02,               ,4.09667991,1.433
1123,10141900,1082.03, Kepler-763 b  ,1.19654725,1.243
1124,10141900,1082.04,               ,9.65506241,1.451
1135,3231341,1102.01, Kepler-24 c   ,12.33348408,4.641
1136,3231341,1102.02, Kepler-24 b   ,8.14510034,2.947
1137,3231341,1102.03, Kepler-24 e   ,18.99831911,2.211
1138,3231341,1102.04, Kepler-24 d   ,4.24433553,1.46
1140,3240158,1106.01, Kepler-769 b  ,7.42605905,2.321
1141,3240158,1106.02, Kepler-769 c  ,15.9867378,1.455
1142,3240158,1106.03,               ,13.23010172,1.283
1143,3218908,1108.01, Kepler-770 b  ,18.92542004,2.764
1144,3218908,1108.02, Kepler-770 c  ,1.47532899,1.369
1145,3218908,1108.03, Kepler-770 d  ,4.15246338,1.635
1155,6359320,1127.01, Kepler-269 b  ,5.32668251,4.042
1156,6359320,1127.02, Kepler-269 c  ,8.12804153,2.471
1157,6359320,1127.03,               ,2.83669453,2.112
1167,8280511,1151.01, Kepler-271 b  ,10.43545334,1.229
1168,8280511,1151.02, Kepler-271 c  ,7.41088006,0.948
1169,8280511,1151.03, Kepler-271 d  ,5.24969846,0.672
1170,8280511,1151.04,               ,17.45319318,0.759
1171,8280511,1151.05,               ,21.72027051,0.801
1174,10426656,1161.01, Kepler-272 c  ,6.0573033,2.354
1175,10426656,1161.02, Kepler-272 d  ,10.93721736,2.47
1176,10426656,1161.03, Kepler-272 b  ,2.97138076,1.84
1180,10337517,1165.01, Kepler-783 c  ,7.05394442,1.903
1181,10337517,1165.02, Kepler-783 b  ,4.29263721,0.668
1182,10337517,1165.03,               ,11.14580908,0.754
1191,3554031,1194.01, Kepler-415 c  ,8.70793158,2.197
1192,3554031,1194.02,               ,14.86216896,1.689
1193,3554031,1194.03, Kepler-415 b  ,4.17629424,1.352
1196,3447722,1198.01, Kepler-275 c  ,16.08826322,3.507
1197,3447722,1198.02, Kepler-275 b  ,10.30061924,2.355
1198,3447722,1198.03, Kepler-275 d  ,35.67556697,3.091
1202,3962243,1203.01, Kepler-276 c  ,31.88385912,2.689
1203,3962243,1203.02, Kepler-276 b  ,14.12835319,2.242
1204,3962243,1203.03, Kepler-276 d  ,48.64813648,2.128
1220,6677841,1236.01, Kepler-279 c  ,35.73391416,3.971
1221,6677841,1236.02, Kepler-279 b  ,12.30971149,2.846
1222,6677841,1236.03, Kepler-279 d  ,54.4114068,3.556
1223,6677841,1236.04,               ,98.35919826,2.931
1227,6690082,1240.01, Kepler-280 b  ,2.13955509,1.584
1228,6690082,1240.02, Kepler-280 c  ,4.80709495,2.094
1229,6690082,1240.03,               ,9.82541584,0.935
1237,8630788,1258.01, Kepler-281 c  ,36.33749126,7.507
1238,8630788,1258.02, Kepler-281 b  ,14.64632731,3.131
1239,8630788,1258.03, Kepler-281 d  ,148.2723105,5.367
1251,8804283,1276.01,               ,22.7902174,2.391
1252,8804283,1276.02,               ,13.26071518,1.35
1253,8804283,1276.03,               ,7.70974541,0.809
1254,8609450,1278.01, Kepler-282 d  ,24.80566736,2.837
1255,8609450,1278.02, Kepler-282 e  ,44.34723441,3.196
1256,8609450,1278.03, Kepler-282 b  ,9.22083801,1.34
1257,8609450,1278.04, Kepler-282 c  ,13.64007155,1.444
1275,10858691,1306.01, Kepler-286 b  ,1.79631631,1.241
1276,10858691,1306.02, Kepler-286 c  ,3.46807214,1.352
1277,10858691,1306.03, Kepler-286 d  ,5.91427708,1.368
1278,10858691,1306.04, Kepler-286 e  ,29.22129979,1.697
1296,4455231,1332.01, Kepler-288 c  ,19.30578896,2.783
1297,4455231,1332.02, Kepler-288 b  ,6.09748969,1.533
1298,4455231,1332.03, Kepler-288 d  ,56.63841999,2.537
1300,4077526,1336.01, Kepler-58 b   ,10.21868514,2.064
1301,4077526,1336.02, Kepler-58 c   ,15.57355475,2.112
1302,4077526,1336.03, Kepler-58 d   ,40.1011493,2.31
1303,4077526,1336.04,               ,4.45817348,1.336
1305,4466677,1338.01, Kepler-822 b  ,3.22296839,1.491
1306,4466677,1338.02,               ,42.03714532,1.586
1307,4466677,1338.03,               ,21.01182965,1.235
1313,7303287,1353.01, Kepler-289 c  ,125.8654422,11.038
1314,7303287,1353.02, Kepler-289 b  ,34.54399807,2.102
1315,7303287,1353.03,               ,66.01646112,2.452
1319,7376983,1358.01,               ,5.64492487,2.642
1320,7376983,1358.02,               ,8.74287505,1.98
1321,7376983,1358.03,               ,3.64833292,1.374
1322,7376983,1358.04,               ,2.34585905,1.272
1325,7102227,1360.01, Kepler-290 c  ,36.77055611,2.535
1326,7102227,1360.02, Kepler-290 b  ,14.58931266,1.993
1327,7102227,1360.03,               ,0.76401565,0.791
1332,6962977,1364.01, Kepler-292 f  ,20.83424102,2.31
1333,6962977,1364.02, Kepler-292 d  ,7.0556802,2.157
1334,6962977,1364.03, Kepler-292 e  ,11.97890111,2.151
1335,6962977,1364.04, Kepler-292 c  ,3.71548205,1.479
1336,6962977,1364.05, Kepler-292 b  ,2.58083692,1.336
1363,9006449,1413.01, Kepler-295 b  ,12.64500199,3.257
1364,9006449,1413.02, Kepler-295 c  ,21.52618726,3.165
1365,9006449,1413.03, Kepler-295 d  ,33.88433254,3.422
1367,11497958,1422.01, Kepler-296 c  ,5.84163696,1.447
1368,11497958,1422.02, Kepler-296 d  ,19.8503022,1.58
1369,11497958,1422.03, Kepler-296 b  ,10.86440372,1.075
1370,11497958,1422.04, Kepler-296 f  ,63.33550636,1.231
1371,11497958,1422.05, Kepler-296 e  ,34.14210338,1.109
1375,11122894,1426.01, Kepler-297 b  ,38.86857676,2.782
1376,11122894,1426.02, Kepler-297 c  ,74.92841333,6.192
1377,11122894,1426.03,               ,150.0216791,18.3
1382,11176127,1430.01, Kepler-298 b  ,10.47547226,2.113
1383,11176127,1430.02, Kepler-298 c  ,22.92873069,1.958
1384,11176127,1430.03, Kepler-298 d  ,77.4743516,2.536
1386,11014932,1432.01, Kepler-299 c  ,6.88597657,2.016
1387,11014932,1432.02, Kepler-299 d  ,15.05495546,1.572
1388,11014932,1432.03, Kepler-299 b  ,2.92722182,1.272
1389,11014932,1432.04, Kepler-299 e  ,38.28607433,1.778
1394,11389771,1436.01, Kepler-301 b  ,2.50855472,1.382
1395,11389771,1436.02, Kepler-301 d  ,13.75124199,1.772
1396,11389771,1436.03, Kepler-301 c  ,5.41907617,1.447
1414,4770365,1475.01, Kepler-1669 c ,1.6093192,1.761
1415,4770365,1475.02, Kepler-1669 b ,9.51219279,2.223
1416,4770365,1475.03,               ,4.72943361,1.348
1432,7841925,1499.01, Kepler-865 b  ,14.16399045,2.201
1433,7841925,1499.02,               ,0.84059639,0.583
1434,7841925,1499.03,               ,6.20922062,0.833
1474,5371776,1557.01, Kepler-304 b  ,3.29570206,2.672
1475,5371776,1557.02, Kepler-304 d  ,9.65348279,2.302
1476,5371776,1557.03, Kepler-304 c  ,5.31595232,2.013
1477,5371776,1557.04, Kepler-304 e  ,1.49914177,1.038
1479,5219234,1563.01, Kepler-305 b  ,5.48712478,2.789
1480,5219234,1563.02, Kepler-305 c  ,8.29085153,2.439
1481,5219234,1563.03, Kepler-305 e  ,3.20541109,1.641
1482,5219234,1563.04, Kepler-305 d  ,16.73878229,2.418
