,KIC,KOI,Kepler,Period,Rp
486,3239945,490.04, Kepler-167 d  ,21.80364252,1.139
490,4757437,497.01, Kepler-168 c  ,13.19321756,3.307
491,4757437,497.02, Kepler-168 b  ,4.42535209,1.829
493,4852528,500.01, Kepler-80 b   ,7.05352865,2.596
494,4852528,500.02, Kepler-80 c   ,9.52164568,2.606
495,4852528,500.03, Kepler-80 d   ,3.07215234,1.573
496,4852528,500.04, Kepler-80 e   ,4.64539336,1.607
497,4852528,500.05, Kepler-80 f   ,0.98678597,1.414
498,4852528,500.06, Kepler-80 g   ,14.64538173,1.235
502,5689351,505.01, Kepler-169 e  ,13.76710208,1.876
503,5689351,505.02, Kepler-169 c  ,6.19544791,1.237
504,5689351,505.03, Kepler-169 b  ,3.25056897,1.06
505,5689351,505.04, Kepler-169 d  ,8.34818212,1.225
506,5689351,505.05, Kepler-169 f  ,87.0911645,2.403
508,6266741,508.01, Kepler-170 b  ,7.93058498,2.826
509,6266741,508.02, Kepler-170 c  ,16.66590239,2.706
510,6381846,509.01, Kepler-171 b  ,4.16696215,2.714
511,6381846,509.02, Kepler-171 c  ,11.46349762,2.99
512,6381846,509.03, Kepler-171 d  ,39.60630445,2.211
513,6422155,510.01, Kepler-172 b  ,2.94030314,2.272
514,6422155,510.02, Kepler-172 c  ,6.38898868,2.427
515,6422155,510.03, Kepler-172 d  ,14.62708988,2.076
516,6422155,510.04, Kepler-172 e  ,35.11862043,2.399
517,6451936,511.01, Kepler-173 c  ,8.00578284,2.774
518,6451936,511.02, Kepler-173 b  ,4.26376338,1.485
522,8017703,518.01, Kepler-174 b  ,13.98179504,2.205
523,8017703,518.02, Kepler-174 c  ,44.00029983,1.69
524,8017703,518.03, Kepler-174 d  ,247.3546796,2.483
525,8022244,519.01, Kepler-175 b  ,11.90352219,3.001
526,8022244,519.02, Kepler-175 c  ,34.03512452,3.224
527,8037145,520.01, Kepler-176 c  ,12.75933213,2.303
528,8037145,520.02, Kepler-176 b  ,5.43312253,1.403
529,8037145,520.03, Kepler-176 d  ,25.75279012,2.104
530,8037145,520.04, Kepler-176 e  ,51.16575644,1.251
531,8162789,521.01,               ,10.16102331,4.187
532,8162789,521.02,               ,5.41029086,1.122
534,8806123,523.01, Kepler-177 c  ,49.41119585,8.83
535,8806123,523.02, Kepler-177 b  ,36.85699247,3.576
539,9941859,528.01, Kepler-178 b  ,9.57666496,2.394
540,9941859,528.02, Kepler-178 d  ,96.67842374,2.713
541,9941859,528.03, Kepler-178 c  ,20.55273599,2.369
545,10513530,533.01, Kepler-589 b  ,16.54966448,2.132
546,10513530,533.02, Kepler-589 c  ,3.52467044,0.901
547,10554999,534.01, Kepler-179 c  ,6.40015203,2.241
548,10554999,534.02, Kepler-179 b  ,2.73589844,1.693
554,11669239,542.01, Kepler-180 c  ,41.8852866,2.492
555,11669239,542.02, Kepler-180 b  ,13.81743544,1.416
556,11669239,542.03,               ,7.55531428,0.894
557,11823054,543.01, Kepler-181 c  ,4.30213778,2.111
558,11823054,543.02, Kepler-181 b  ,3.13785766,1.35
559,12058931,546.01, Kepler-182 c  ,20.68421752,3.942
560,12058931,546.02, Kepler-182 b  ,9.82580216,2.818
561,12116489,547.01, Kepler-595 b  ,25.30293703,3.794
562,12116489,547.02,               ,7.34671695,0.9
563,12116489,547.03, Kepler-595 c  ,12.38603302,1.026
564,12600735,548.01, Kepler-596 b  ,21.30020878,3.342
565,12600735,548.02,               ,6.08004606,0.924
567,4270253,551.01, Kepler-183 c  ,11.63704902,2.556
568,4270253,551.02, Kepler-183 b  ,5.68797582,2.264
570,5709725,555.01, Kepler-598 b  ,3.70176769,1.426
571,5709725,555.02, Kepler-598 c  ,86.49433321,2.657
577,6786037,564.01, Kepler-603 b  ,21.0861997,4.323
578,6786037,564.02, Kepler-603 c  ,127.9089824,9.763
579,6786037,564.03, Kepler-603 d  ,6.21712927,2.257
580,7119481,566.01, Kepler-604 b  ,25.85495982,2.668
581,7119481,566.02,               ,14.15716646,1.228
